Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
window replacement cars,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair laramie wy,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window replacement denver,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now lakewood,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
absolute auto glass denver,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
arch auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tesla windshield replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tier one auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
affordable windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
my back window shattered,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair windsor,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
$99 windshield replacement denver,Performance Max,None,Campaign #1,1,8,12.50%,USD,3.04,3.04,Performance Max,0.00%,0.00,0.00
windshield replacement windsor co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
professional auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement fort collins,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
springs auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
onsite auto glass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
complete auto glass,Performance Max,None,Campaign #1,0,14,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield,Performance Max,None,Campaign #1,0,15,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass masters,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield replacement near me,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
window replacement car,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
window replacement auto,Performance Max,None,Campaign #1,1,2,50.00%,USD,7.45,7.45,Performance Max,0.00%,0.00,0.00
auto glass company near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
peterson auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
new windshield cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window broken,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a to z auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
elevated auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass highlands ranch,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield paramedic,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto windshield replacement colorado springs,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
apex auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair company,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair near me,Performance Max,None,Campaign #1,0,17,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass masters cheyenne wy,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
precision windshield replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield glass repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile windshield repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
back windshield replacement cost near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair fort collins,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement,Performance Max,None,Campaign #1,2,9,22.22%,USD,5.34,10.67,Performance Max,0.00%,0.00,0.00
auto glass aurora co,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
city glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
quickset auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair denver colorado,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair steamboat springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
jiffy auto glass near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
greeley auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass window replacement car,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
polish windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
hearts auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
quick set auto glass,Performance Max,None,Campaign #1,0,9,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window installers near me,Performance Max,None,Campaign #1,1,2,50.00%,USD,4.24,4.24,Performance Max,0.00%,0.00,0.00
windshield replacement littleton,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
window replacement for a car,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass near me,Performance Max,None,Campaign #1,1,6,16.67%,USD,5.41,5.41,Performance Max,0.00%,0.00,0.00
anchor auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip repair windshield near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
back window replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
dodge charger rear window replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement fort morgan,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair places near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass company,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now denver,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chipped windshield repair,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement canon city co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window glass broken,Performance Max,None,Campaign #1,0,7,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip pros auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
savelite,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
primos auto glass greeley co,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
vehicle glass replacement near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
precision auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
front range auto glass colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
used auto glass near me prices,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair,Performance Max,None,Campaign #1,0,10,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
primos auto glass,Performance Max,None,Campaign #1,0,13,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
oe glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
west elk windshields,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
colorado springs auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safelight solutions,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
allstate glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement golden colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass replacement denver,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
classic auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2019 honda ridgeline windshield replacement cost,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now colorado springs,Performance Max,None,Campaign #1,0,10,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto windshield glass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
where to buy windshield glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass in virginia beach,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car windshield repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
supreme glass belton mo,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass chip repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair near me,Performance Max,None,Campaign #1,0,21,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement denver,Performance Max,None,Campaign #1,1,10,10.00%,USD,10.22,10.22,Performance Max,0.00%,0.00,0.00
safe light,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
primo auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
chip windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
glass repair,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
oe auto glass,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair colorado springs,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
new image auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
native auto glass,Performance Max,None,Campaign #1,0,15,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair in colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
satellite windshield replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rock chip doctor,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rear windshield replacement,Performance Max,None,Campaign #1,1,2,50.00%,USD,13.59,13.59,Performance Max,0.00%,0.00,0.00
xtreme auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
satellite glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
safe glass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
clear choice auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
premium auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
new windshield,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair greeley,Performance Max,None,Campaign #1,0,6,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
innova auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
sade lite,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile car window replacement near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
best $99 windshield replacement denver,Performance Max,None,Campaign #1,1,1,100.00%,USD,7.09,7.09,Performance Max,0.00%,0.00,0.00
autoplex loveland,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
elite auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass greeley,Performance Max,None,Campaign #1,0,7,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
elite auto glass denver,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
driver side door window replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
abra windshields,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
fast break windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
best windshield replacement colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
satellite window replacement,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
automotive glass removal,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement lodi ca,Performance Max,None,Campaign #1,1,2,50.00%,USD,3.85,3.85,Performance Max,0.00%,0.00,0.00
chip repair near me,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement in colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tabos auto glass,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement glenwood springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
tesla windshield repair,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rams glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
american glass windshield,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair pueblo,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
latinos auto glass,Performance Max,None,Campaign #1,0,5,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
passenger window replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass now colorado springs colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
carefree windshield repair,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
novice glass repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement alamosa,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
truck glass replacement,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
$99 windshield replacement,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a better view windshield repair,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
big sky auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
gunnison auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass platte colorado springs,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshields express,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
a better view auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
los amigos mobile auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
all star glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
los primos auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2015 chrysler 200 windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
morey's glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
service auto glass near me,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
fix truck window,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass repair longmont,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
harding auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
all american glass sterling colorado,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
mobile auto glass repair denver,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
my car window won t go up,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
car window replacement colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
spring auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
2018 bmw x5 windshield replacement cost,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement,Performance Max,None,Campaign #1,0,52,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
rainbow auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield repair denver,Performance Max,None,Campaign #1,0,4,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
clearview auto glass,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
auto glass longmont,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
denver windshield repair,Performance Max,None,Campaign #1,0,3,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield replacement aurora co,Performance Max,None,Campaign #1,0,1,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
peakview auto glass,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
windshield chip repair colorado springs,Performance Max,None,Campaign #1,0,2,0.00%,USD,0,0.00,Performance Max,0.00%,0.00,0.00
