Matched locations report
"October 20, 2025 - November 3, 2025"
Matched location,Bid adj.,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
"Federal Heights, Colorado, United States", --,None,7,195,3.59%,USD,15.52,108.65,14.29%,1.00,108.65
"Walden, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Firestone, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Downieville-Lawson-Dumont, Colorado, United States", --,None,1,3,33.33%,USD,4.57,4.57,0.00%,0.00,0.00
"Monument, Colorado, United States", --,None,1,14,7.14%,USD,18.97,18.97,0.00%,0.00,0.00
"Victor, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Littleton, Colorado, United States", --,None,0,43,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Fairplay, Colorado, United States", --,None,0,6,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Alma, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Aurora, Colorado, United States", --,Added,8,249,3.21%,USD,12.61,100.88,37.50%,3.00,33.63
"Black Forest, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Wellington, Colorado, United States", --,None,1,21,4.76%,USD,1.42,1.42,0.00%,0.00,0.00
"Long Beach, California, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Lochbuie, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Florissant, Colorado, United States", --,None,0,11,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Aspen Park, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Stratmoor, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Thornton, Colorado, United States", --,None,2,119,1.68%,USD,8.55,17.09,0.00%,0.00,0.00
"Sheridan, Colorado, United States", --,None,0,36,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Lone Tree, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Derby, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Franktown, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Fort Lupton, Colorado, United States", --,None,1,11,9.09%,USD,33.55,33.55,0.00%,0.00,0.00
"Berkley, Colorado, United States", --,None,0,34,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Cherry Hills Village, Colorado, United States", --,None,0,12,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Conifer, Colorado, United States", --,None,0,14,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Henderson, Colorado, United States", --,None,0,18,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Lyons, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Cimarron Hills, Colorado, United States", --,None,1,12,8.33%,USD,5.33,5.33,0.00%,0.00,0.00
"Severance, Colorado, United States", --,None,4,59,6.78%,USD,7.58,30.32,62.50%,2.50,12.13
"Erie, Colorado, United States", --,None,1,6,16.67%,USD,3.95,3.95,0.00%,0.00,0.00
"Columbine, Colorado, United States", --,None,0,7,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Hudson, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Breckenridge, Colorado, United States", --,None,0,15,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Fountain, Colorado, United States", --,None,1,24,4.17%,USD,7.45,7.45,0.00%,0.00,0.00
"Greeley, Colorado, United States", --,Added,2,105,1.90%,USD,4.08,8.15,0.00%,0.00,0.00
"Boulder, Colorado, United States", --,None,1,61,1.64%,USD,22.48,22.48,0.00%,0.00,0.00
"Idledale, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Gleneagle, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Woodmoor, Colorado, United States", --,None,1,9,11.11%,USD,40.30,40.30,100.00%,1.00,40.30
"Fort Carson, Colorado, United States", --,None,0,10,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Agate, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Black Hawk, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Nederland, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Frisco, Colorado, United States", --,None,3,56,5.36%,USD,4.22,12.67,0.00%,0.00,0.00
"Johnstown, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Grand Lake, Colorado, United States", --,None,0,6,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Milliken, Colorado, United States", --,None,0,5,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Castle Rock, Colorado, United States", --,None,0,9,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Kiowa, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Byers, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Evans, Colorado, United States", --,None,2,72,2.78%,USD,4.48,8.97,0.00%,0.00,0.00
"Greenwood Village, Colorado, United States", --,None,0,31,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Westminster, Colorado, United States", --,None,2,108,1.85%,USD,13.72,27.44,0.00%,0.00,0.00
"Bennett, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Manitou Springs, Colorado, United States", --,None,0,9,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Bellingham, Washington, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Glendale, Colorado, United States", --,None,0,9,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Loveland, Colorado, United States", --,None,1,99,1.01%,USD,1.69,1.69,0.00%,0.00,0.00
"Mead, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Morrison, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Laporte, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Broomfield, Colorado, United States", --,None,0,8,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Briggsdale, Colorado, United States", --,None,1,4,25.00%,USD,17.84,17.84,100.00%,1.00,17.84
"Keystone, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Ponderosa Park, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Watkins, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Peyton, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Brighton, Colorado, United States", --,None,4,37,10.81%,USD,4.97,19.86,0.00%,0.00,0.00
"Northglenn, Colorado, United States", --,None,0,21,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Twin Lakes, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Woodland Park, Colorado, United States", --,None,0,15,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Ken Caryl, Colorado, United States", --,None,1,3,33.33%,USD,8.44,8.44,0.00%,0.00,0.00
"Stonegate, Colorado, United States", --,None,0,5,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Pine, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Centennial, Colorado, United States", --,None,0,39,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Silverthorne, Colorado, United States", --,None,0,9,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Silver Plume, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Niwot, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Buena Vista, Colorado, United States", --,None,1,31,3.23%,USD,0.36,0.36,0.00%,0.00,0.00
"Arvada, Colorado, United States", --,None,0,41,0.00%,USD,0,0.00,0.00%,0.00,0.00
"North Washington, Colorado, United States", --,None,0,14,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Castle Pines, Colorado, United States", --,None,0,2,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Fort Morgan, Colorado, United States", --,None,1,30,3.33%,USD,5.41,5.41,0.00%,0.00,0.00
"Berthoud, Colorado, United States", --,None,0,4,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Superior, Colorado, United States", --,None,0,10,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Evergreen, Colorado, United States", --,None,0,1,0.00%,USD,0,0.00,0.00%,0.00,0.00
"Livermore, Colorado, United States", --,None,0,3,0.00%,USD,0,0.00,0.00%,0.00,0.00
Total: Locations,,,129,"4,587",2.81%,USD,10.03,1294.44,16.15%,21.00,61.64
Total: Campaign,,,131,"4,702",2.79%,USD,10.02,1312.08,15.91%,21.00,62.48
